mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
21.0,12.8,27.9,47.7,0.0,28.2,18.1,16.9,5.6,7.0,3.0,125,Apelsvoll
20.4,12.5,27.4,49.1,0.0,28.4,18.4,17.3,5.6,7.0,4.0,126,Apelsvoll
20.9,14.7,26.6,50.3,0.0,28.0,18.7,17.6,5.6,7.0,5.0,127,Apelsvoll
19.4,15.5,24.2,53.8,0.0,21.9,18.8,17.8,4.4,7.0,6.0,128,Apelsvoll
17.4,12.6,21.9,47.5,0.0,26.8,18.1,17.6,5.3,7.0,7.0,129,Apelsvoll
18.8,8.5,26.6,49.3,0.0,25.8,17.7,17.1,5.1,7.0,8.0,130,Apelsvoll
15.6,10.4,19.4,69.8,5.5,7.8,16.9,16.9,1.7,7.0,9.0,131,Apelsvoll
20.4,13.7,27.8,55.5,0.0,27.2,17.4,16.5,5.3,7.0,10.0,132,Apelsvoll
21.5,16.2,28.5,55.3,0.0,23.2,18.9,17.7,4.7,7.0,11.0,133,Apelsvoll
19.4,14.8,25.1,65.0,0.0,16.5,18.7,17.9,3.2,7.0,12.0,134,Apelsvoll
20.3,14.8,27.0,61.5,0.0,24.3,18.9,17.9,4.8,7.0,13.0,135,Apelsvoll
21.0,13.8,28.5,58.3,0.0,25.1,19.2,18.3,5.0,7.0,14.0,136,Apelsvoll
21.2,13.7,27.9,55.4,0.0,26.1,19.4,18.4,5.2,7.0,15.0,137,Apelsvoll
21.5,12.8,29.0,53.0,0.0,27.6,19.5,18.6,5.6,7.0,16.0,138,Apelsvoll
22.0,13.3,30.6,46.1,0.0,19.8,19.4,18.6,4.3,7.0,17.0,139,Apelsvoll
20.8,17.0,23.6,69.7,0.3,11.4,19.5,18.8,2.3,7.0,18.0,140,Apelsvoll
20.9,12.7,28.1,59.4,0.0,24.5,19.5,18.6,4.8,7.0,19.0,141,Apelsvoll
22.1,14.7,29.3,53.7,0.0,21.5,19.9,18.9,4.5,7.0,20.0,142,Apelsvoll
20.7,12.2,26.7,46.6,0.0,26.4,19.7,18.9,5.2,7.0,21.0,143,Apelsvoll
20.9,14.0,27.4,62.2,0.0,24.5,19.8,18.9,4.6,7.0,22.0,144,Apelsvoll
22.3,15.6,28.3,50.3,0.0,22.4,20.0,19.1,4.5,7.0,23.0,145,Apelsvoll
23.2,15.3,30.9,53.7,0.0,20.1,20.0,19.2,4.2,7.0,24.0,146,Apelsvoll
23.7,17.0,29.5,58.1,0.0,20.6,20.1,19.3,4.2,7.0,25.0,147,Apelsvoll
22.2,16.7,28.0,56.5,0.0,24.7,20.3,19.3,4.9,7.0,26.0,148,Apelsvoll
24.0,15.0,30.8,53.2,0.0,21.8,20.5,19.6,4.5,7.0,27.0,149,Apelsvoll
21.7,19.2,25.8,75.7,9.3,12.9,20.6,19.7,2.6,7.0,28.0,150,Apelsvoll
21.7,15.0,27.2,65.8,6.3,19.8,20.7,19.8,4.1,7.0,29.0,151,Apelsvoll
18.7,11.1,26.1,61.7,0.0,14.8,19.4,19.3,2.9,7.0,30.0,152,Apelsvoll
21.1,16.2,30.0,73.0,3.4,16.0,19.9,19.2,2.9,7.0,31.0,153,Apelsvoll
20.7,15.7,26.8,68.5,2.2,21.9,20.3,19.5,3.9,8.0,1.0,154,Apelsvoll
18.9,13.4,24.9,69.8,0.0,13.9,19.8,19.4,2.5,8.0,2.0,155,Apelsvoll
17.3,13.8,21.4,76.4,1.7,9.3,18.9,18.8,1.6,8.0,3.0,156,Apelsvoll
18.9,13.3,24.5,68.9,0.0,20.6,19.1,18.6,3.5,8.0,4.0,157,Apelsvoll
18.0,13.0,22.8,47.2,0.1,23.6,18.8,18.6,4.4,8.0,5.0,158,Apelsvoll
15.3,9.3,21.1,52.3,0.0,14.9,17.5,17.8,2.7,8.0,6.0,159,Apelsvoll
18.1,10.9,25.7,66.4,0.1,20.6,17.5,17.3,3.5,8.0,7.0,160,Apelsvoll
16.9,13.2,19.3,87.8,3.8,5.8,17.5,17.5,0.9,8.0,8.0,161,Apelsvoll
19.8,15.8,24.9,59.4,0.0,20.5,18.0,17.5,3.7,8.0,9.0,162,Apelsvoll
13.9,10.9,18.5,87.0,15.3,4.3,17.1,17.3,0.8,8.0,10.0,163,Apelsvoll
14.3,9.5,18.8,66.7,7.9,17.4,16.0,16.3,2.8,8.0,11.0,164,Apelsvoll
11.3,8.4,16.1,83.8,11.5,8.8,15.6,16.0,1.2,8.0,12.0,165,Apelsvoll
13.2,6.5,19.6,70.6,0.0,21.0,15.5,15.6,3.0,8.0,13.0,166,Apelsvoll
13.4,7.3,21.1,70.9,0.0,17.4,15.8,15.8,2.5,8.0,14.0,167,Apelsvoll
14.1,8.3,18.6,78.8,0.0,10.6,15.7,15.8,1.6,8.0,15.0,168,Apelsvoll
17.5,15.1,20.8,78.5,0.3,8.4,16.0,15.9,1.6,8.0,16.0,169,Apelsvoll
15.3,11.8,20.9,72.6,5.0,16.3,16.1,16.0,2.5,8.0,17.0,170,Apelsvoll
13.6,10.8,16.3,77.2,1.8,5.0,15.1,15.5,0.9,8.0,18.0,171,Apelsvoll
15.7,10.3,22.0,54.0,0.0,19.8,14.8,14.9,3.4,8.0,19.0,172,Apelsvoll
11.7,7.5,17.0,66.9,0.0,9.6,14.6,14.9,1.5,8.0,20.0,173,Apelsvoll
12.2,5.9,19.0,62.5,0.0,19.8,14.3,14.5,2.8,8.0,21.0,174,Apelsvoll
14.7,9.7,18.5,77.4,2.4,3.8,14.2,14.4,0.8,8.0,22.0,175,Apelsvoll
14.2,9.9,17.9,66.8,0.1,13.3,14.7,14.5,2.0,8.0,23.0,176,Apelsvoll
12.6,8.5,19.4,78.6,3.3,10.3,14.7,14.7,1.4,8.0,24.0,177,Apelsvoll
11.3,5.9,16.4,69.4,0.0,17.0,14.0,14.2,2.3,8.0,25.0,178,Apelsvoll
10.2,5.9,15.1,77.4,2.2,15.3,14.0,14.2,1.9,8.0,26.0,179,Apelsvoll
10.4,5.2,14.3,84.7,0.6,7.0,13.6,13.9,0.9,8.0,27.0,180,Apelsvoll
12.8,10.0,17.0,79.7,0.0,8.0,13.9,13.8,1.1,8.0,28.0,181,Apelsvoll
13.0,8.4,17.1,83.7,0.0,6.2,13.7,13.8,0.9,8.0,29.0,182,Apelsvoll
14.1,11.2,18.7,75.9,2.9,14.8,14.2,14.0,2.0,8.0,30.0,183,Apelsvoll
12.2,6.1,18.0,66.9,0.0,17.0,14.2,14.1,2.3,8.0,31.0,184,Apelsvoll
12.1,5.1,19.6,69.0,0.0,15.5,13.8,13.9,2.1,9.0,1.0,185,Apelsvoll
15.3,9.7,21.4,66.4,0.0,16.1,14.2,14.0,2.4,9.0,2.0,186,Apelsvoll
14.0,8.9,21.1,74.7,0.0,15.5,14.3,14.2,2.0,9.0,3.0,187,Apelsvoll
13.9,7.4,20.5,76.6,0.0,15.2,14.2,14.1,1.9,9.0,4.0,188,Apelsvoll
13.6,7.8,20.7,80.9,0.0,13.3,14.3,14.1,1.6,9.0,5.0,189,Apelsvoll
13.3,10.8,15.1,86.8,0.0,2.7,14.2,14.2,0.4,9.0,6.0,190,Apelsvoll
13.8,11.9,15.9,79.3,0.0,5.1,13.9,13.9,0.8,9.0,7.0,191,Apelsvoll
13.3,11.4,15.0,86.7,21.7,3.4,13.7,13.8,0.5,9.0,8.0,192,Apelsvoll
