mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
0.4791,1.0888,-0.1179,0.6513,-0.2314,-1.0938,0.9078,0.9598,-0.7269,0.0009,-0.2019,106,Apelsvoll
0.5873,0.683,0.5459,-0.8593,-0.3524,1.7342,0.7139,0.7782,1.8974,0.0009,-0.0886,107,Apelsvoll
0.6182,0.6674,0.6012,-0.6055,-0.3524,1.852,0.7947,0.7617,1.7694,0.0009,0.0247,108,Apelsvoll
0.1545,0.4645,0.1034,1.0683,0.9785,-0.4391,0.7785,0.7947,-0.4708,0.0009,0.138,109,Apelsvoll
0.4327,0.3397,0.3247,0.6392,-0.3431,0.6082,0.7139,0.7286,0.5533,0.0009,0.2514,110,Apelsvoll
0.5873,0.6674,0.5044,-1.1796,-0.3524,1.4854,0.7139,0.7286,1.6414,0.0009,0.3647,111,Apelsvoll
0.139,0.1992,0.1725,-0.8351,-0.3524,0.2678,0.5361,0.6296,0.4893,0.0009,0.478,112,Apelsvoll
-0.1546,0.0431,-0.1593,0.2888,0.0292,0.006,0.4391,0.514,0.0412,0.0009,0.5914,113,Apelsvoll
-0.0001,0.246,-0.3529,-1.0043,-0.3524,-0.6355,0.3098,0.4314,-0.1508,0.0009,0.7047,114,Apelsvoll
0.68,0.3865,0.7672,-1.6146,-0.3524,1.5378,0.3745,0.3654,1.7054,0.0009,0.818,115,Apelsvoll
0.881,0.5426,0.8778,-0.9922,-0.3524,1.1974,0.6331,0.547,1.5134,0.0009,0.9313,116,Apelsvoll
1.5611,1.2761,1.6107,-0.956,-0.3524,1.8913,0.924,0.7451,2.2175,0.0009,1.0447,117,Apelsvoll
1.7002,1.6038,1.8043,-0.9258,-0.3524,1.6556,1.1503,0.9763,1.9615,0.0009,1.158,118,Apelsvoll
1.7002,1.557,1.7213,-1.5119,-0.3524,1.7211,1.2149,1.0754,2.0895,0.0009,1.2713,119,Apelsvoll
1.422,1.1512,1.4724,-1.4575,-0.3524,0.4511,1.1664,1.1084,1.0653,0.0009,1.3847,120,Apelsvoll
0.6182,0.5269,0.5597,-1.4938,-0.3524,2.14,0.9725,0.9763,2.2175,0.0009,1.498,121,Apelsvoll
0.6491,0.168,0.9054,-1.5059,-0.3524,2.1269,0.9401,0.9268,1.9615,0.0009,1.6113,122,Apelsvoll
1.0819,0.2928,1.3065,-1.4817,-0.3524,2.0615,1.0048,0.9598,2.2815,0.5036,-1.6752,123,Apelsvoll
1.422,0.9015,1.583,-1.5179,-0.3524,1.9567,1.1018,1.0093,2.1535,0.5036,-1.5619,124,Apelsvoll
1.6229,1.1044,1.7213,-1.3669,-0.3524,1.9306,1.2472,1.1084,2.1535,0.5036,-1.4485,125,Apelsvoll
1.5302,1.0576,1.6522,-1.2823,-0.3524,1.9567,1.2957,1.1745,2.1535,0.5036,-1.3352,126,Apelsvoll
1.6075,1.4009,1.5416,-1.2098,-0.3524,1.9044,1.3442,1.224,2.1535,0.5036,-1.2219,127,Apelsvoll
1.3756,1.5258,1.2097,-0.9983,-0.3524,1.1057,1.3604,1.257,1.3854,0.5036,-1.1086,128,Apelsvoll
1.0665,1.0732,0.8916,-1.379,-0.3524,1.7473,1.2472,1.224,1.9615,0.5036,-0.9952,129,Apelsvoll
1.2829,0.4333,1.5416,-1.2702,-0.3524,1.6163,1.1826,1.1414,1.8334,0.5036,-0.8819,130,Apelsvoll
0.7882,0.7298,0.5459,-0.0315,0.1595,-0.7403,1.0533,1.1084,-0.3428,0.5036,-0.7686,131,Apelsvoll
1.5302,1.2449,1.7075,-0.8956,-0.3524,1.7996,1.1341,1.0424,1.9615,0.5036,-0.6553,132,Apelsvoll
1.7002,1.635,1.8043,-0.9076,-0.3524,1.2759,1.3765,1.2405,1.5774,0.5036,-0.5419,133,Apelsvoll
1.3756,1.4165,1.3341,-0.3215,-0.3524,0.3988,1.3442,1.2735,0.6173,0.5036,-0.4286,134,Apelsvoll
1.5147,1.4165,1.5969,-0.533,-0.3524,1.42,1.3765,1.2735,1.6414,0.5036,-0.3153,135,Apelsvoll
1.6229,1.2605,1.8043,-0.7264,-0.3524,1.5247,1.425,1.3396,1.7694,0.5036,-0.2019,136,Apelsvoll
1.6538,1.2449,1.7213,-0.9016,-0.3524,1.6556,1.4573,1.3561,1.8974,0.5036,-0.0886,137,Apelsvoll
1.7002,1.1044,1.8734,-1.0466,-0.3524,1.852,1.4735,1.3891,2.1535,0.5036,0.0247,138,Apelsvoll
1.7775,1.1824,2.0947,-1.4636,-0.3524,0.8308,1.4573,1.3891,1.3214,0.5036,0.138,139,Apelsvoll
1.592,1.7599,1.1267,-0.0375,-0.3245,-0.2689,1.4735,1.4221,0.0412,0.5036,0.2514,140,Apelsvoll
1.6075,1.0888,1.749,-0.6599,-0.3524,1.4461,1.4735,1.3891,1.6414,0.5036,0.3647,141,Apelsvoll
1.7929,1.4009,1.9149,-1.0043,-0.3524,1.0534,1.5381,1.4387,1.4494,0.5036,0.478,142,Apelsvoll
1.5765,1.0108,1.5554,-1.4333,-0.3524,1.6949,1.5058,1.4387,1.8974,0.5036,0.5914,143,Apelsvoll
1.6075,1.2917,1.6522,-0.4907,-0.3524,1.4461,1.522,1.4387,1.5134,0.5036,0.7047,144,Apelsvoll
1.8239,1.5414,1.7766,-1.2098,-0.3524,1.1712,1.5543,1.4717,1.4494,0.5036,0.818,145,Apelsvoll
1.963,1.4946,2.1362,-1.0043,-0.3524,0.8701,1.5543,1.4882,1.2574,0.5036,0.9313,146,Apelsvoll
2.0403,1.7599,1.9426,-0.7385,-0.3524,0.9355,1.5705,1.5047,1.2574,0.5036,1.0447,147,Apelsvoll
1.8084,1.7131,1.7352,-0.8351,-0.3524,1.4723,1.6028,1.5047,1.7054,0.5036,1.158,148,Apelsvoll
2.0866,1.4477,2.1223,-1.0345,-0.3524,1.0926,1.6351,1.5542,1.4494,0.5036,1.2713,149,Apelsvoll
1.7311,2.1032,1.4309,0.325,0.5131,-0.0726,1.6513,1.5708,0.2332,0.5036,1.3847,150,Apelsvoll
1.7311,1.4477,1.6245,-0.2732,0.2339,0.8308,1.6674,1.5873,1.1934,0.5036,1.498,151,Apelsvoll
1.2674,0.8391,1.4724,-0.5209,-0.3524,0.1762,1.4573,1.5047,0.4253,0.5036,1.6113,152,Apelsvoll
1.6384,1.635,2.0117,0.1619,-0.036,0.3333,1.5381,1.4882,0.4253,0.5036,1.7246,153,Apelsvoll
1.5765,1.557,1.5692,-0.11,-0.1477,1.1057,1.6028,1.5377,1.0653,1.0062,-1.6752,154,Apelsvoll
1.2983,1.198,1.3065,-0.0315,-0.3524,0.0584,1.522,1.5212,0.1692,1.0062,-1.5619,155,Apelsvoll
1.051,1.2605,0.8225,0.3673,-0.1942,-0.5439,1.3765,1.4221,-0.4068,1.0062,-1.4485,156,Apelsvoll
1.2983,1.1824,1.2512,-0.0859,-0.3524,0.9355,1.4088,1.3891,0.8093,1.0062,-1.3352,157,Apelsvoll
1.1592,1.1356,1.0161,-1.3971,-0.3431,1.3283,1.3604,1.3891,1.3854,1.0062,-1.2219,158,Apelsvoll
0.7419,0.5582,0.781,-1.0889,-0.3524,0.1893,1.1503,1.257,0.2973,1.0062,-1.1086,159,Apelsvoll
1.1747,0.8079,1.4171,-0.2369,-0.3431,0.9355,1.1503,1.1745,0.8093,1.0062,-0.9952,160,Apelsvoll
0.9892,1.1668,0.5321,1.0562,0.0012,-1.0021,1.1503,1.2075,-0.8549,1.0062,-0.8819,161,Apelsvoll
1.4374,1.5726,1.3065,-0.6599,-0.3524,0.9225,1.2311,1.2075,0.9373,1.0062,-0.7686,162,Apelsvoll
0.5255,0.8079,0.4215,1.0078,1.0716,-1.1985,1.0856,1.1745,-0.9189,1.0062,-0.6553,163,Apelsvoll
0.5873,0.5894,0.4629,-0.2188,0.3828,0.5166,0.9078,1.0093,0.3613,1.0062,-0.5419,164,Apelsvoll
0.1236,0.4177,0.0896,0.8145,0.7179,-0.6093,0.8432,0.9598,-0.6629,1.0062,-0.4286,165,Apelsvoll
0.4173,0.1212,0.5736,0.0169,-0.3524,0.9879,0.827,0.8938,0.4893,1.0062,-0.3153,166,Apelsvoll
0.4482,0.246,0.781,0.035,-0.3524,0.5166,0.8755,0.9268,0.1692,1.0062,-0.2019,167,Apelsvoll
0.5564,0.4021,0.4353,0.5123,-0.3524,-0.3737,0.8593,0.9268,-0.4068,1.0062,-0.0886,168,Apelsvoll
1.0819,1.4633,0.7395,0.4942,-0.3245,-0.6617,0.9078,0.9433,-0.4068,1.0062,0.0247,169,Apelsvoll
0.7419,0.9483,0.7533,0.1377,0.1129,0.3726,0.924,0.9598,0.1692,1.0062,0.138,170,Apelsvoll
0.4791,0.7923,0.1172,0.4157,-0.1849,-1.1068,0.7624,0.8772,-0.8549,1.0062,0.2514,171,Apelsvoll
0.8037,0.7142,0.9054,-0.9862,-0.3524,0.8308,0.7139,0.7782,0.7453,1.0062,0.3647,172,Apelsvoll
0.1854,0.2772,0.214,-0.2067,-0.3524,-0.5046,0.6816,0.7782,-0.4708,1.0062,0.478,173,Apelsvoll
0.2627,0.0275,0.4906,-0.4726,-0.3524,0.8308,0.6331,0.7121,0.3613,1.0062,0.5914,174,Apelsvoll
0.6491,0.6206,0.4215,0.4277,-0.1291,-1.264,0.6169,0.6956,-0.9189,1.0062,0.7047,175,Apelsvoll
0.5718,0.6518,0.3385,-0.2128,-0.3431,-0.0202,0.6977,0.7121,-0.1508,1.0062,0.818,176,Apelsvoll
0.3245,0.4333,0.5459,0.5003,-0.0453,-0.413,0.6977,0.7451,-0.5348,1.0062,0.9313,177,Apelsvoll
0.1236,0.0275,0.1311,-0.0557,-0.3524,0.4642,0.5846,0.6626,0.0412,1.0062,1.0447,178,Apelsvoll
-0.0464,0.0275,-0.0487,0.4277,-0.1477,0.2417,0.5846,0.6626,-0.2148,1.0062,1.158,179,Apelsvoll
-0.0155,-0.0817,-0.1593,0.8689,-0.2966,-0.845,0.5199,0.613,-0.8549,1.0062,1.2713,180,Apelsvoll
0.3554,0.6674,0.214,0.5667,-0.3524,-0.7141,0.5684,0.5965,-0.7269,1.0062,1.3847,181,Apelsvoll
0.3864,0.4177,0.2279,0.8084,-0.3524,-0.9497,0.5361,0.5965,-0.8549,1.0062,1.498,182,Apelsvoll
0.5564,0.8547,0.4491,0.3371,-0.0825,0.1762,0.6169,0.6296,-0.1508,1.0062,1.6113,183,Apelsvoll
0.2627,0.0587,0.3523,-0.2067,-0.3524,0.4642,0.6169,0.6461,0.0412,1.0062,1.7246,184,Apelsvoll
0.2472,-0.0973,0.5736,-0.0798,-0.3524,0.2678,0.5523,0.613,-0.0868,1.5089,-1.6752,185,Apelsvoll
0.7419,0.6206,0.8225,-0.2369,-0.3524,0.3464,0.6169,0.6296,0.1052,1.5089,-1.5619,186,Apelsvoll
0.5409,0.4957,0.781,0.2646,-0.3524,0.2678,0.6331,0.6626,-0.1508,1.5089,-1.4485,187,Apelsvoll
0.5255,0.2616,0.698,0.3794,-0.3524,0.2286,0.6169,0.6461,-0.2148,1.5089,-1.3352,188,Apelsvoll
0.4791,0.3241,0.7257,0.6392,-0.3524,-0.0202,0.6331,0.6461,-0.4068,1.5089,-1.2219,189,Apelsvoll
0.4327,0.7923,-0.0487,0.9957,-0.3524,-1.408,0.6169,0.6626,-1.1749,1.5089,-1.1086,190,Apelsvoll
0.51,0.9639,0.0619,0.5426,-0.3524,-1.0938,0.5684,0.613,-0.9189,1.5089,-0.9952,191,Apelsvoll
0.4327,0.8859,-0.0625,0.9897,1.6672,-1.3163,0.5361,0.5965,-1.1109,1.5089,-0.8819,192,Apelsvoll
0.3245,0.7767,0.0204,1.0985,0.3921,-1.3294,0.4715,0.547,-1.1109,1.5089,-0.7686,193,Apelsvoll
0.4791,0.8079,0.2693,0.6272,1.4159,-0.4784,0.4876,0.5305,-0.5988,1.5089,-0.6553,194,Apelsvoll
0.0308,0.5426,-0.5189,0.9897,0.5411,-1.4734,0.4068,0.4975,-1.2389,1.5089,-0.5419,195,Apelsvoll
0.1081,0.2616,0.0619,-0.5632,-0.3524,-0.0595,0.2613,0.3819,-0.1508,1.5089,-0.4286,196,Apelsvoll
